epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.12851,1.29172,3.6356,1.3048,0.00929,0.73469,0.49786,0.35347,0.75233,3.37001,0.91335,0.000325,0.000325,0.000325
2,11.5167,0.72269,1.6714,0.94158,0.01475,0.72959,0.66964,0.58332,0.56875,3.19851,0.85307,0.000655941,0.000655941,0.000655941
3,14.7841,0.68276,1.43834,0.91549,1,0.51444,0.98742,0.84956,0.53654,2.1963,0.84205,0.0009802,0.0009802,0.0009802
4,17.9453,0.60918,1.37973,0.88846,0.97217,0.99177,0.995,0.87683,0.51289,1.07691,0.81921,0.00121287,0.00121287,0.00121287
5,21.004,0.58,1.25101,0.87944,0.99575,0.99245,0.995,0.88419,0.48539,0.71796,0.81942,0.0012005,0.0012005,0.0012005
6,24.2644,0.5421,1.14978,0.85654,0.99131,0.99901,0.995,0.83947,0.56814,0.62893,0.84421,0.00118812,0.00118812,0.00118812
7,27.3234,0.56143,1.0856,0.88357,0.99403,1,0.995,0.84877,0.5349,0.56746,0.85568,0.00117575,0.00117575,0.00117575
8,30.3689,0.54929,1.04196,0.87711,0.99292,1,0.995,0.86733,0.46644,0.52765,0.81454,0.00116337,0.00116337,0.00116337
9,33.5167,0.52554,0.94327,0.86465,0.99608,0.99766,0.995,0.8975,0.42356,0.4601,0.81051,0.001151,0.001151,0.001151
10,36.8546,0.49733,0.9097,0.85088,0.98852,0.99959,0.9949,0.89967,0.41495,0.44384,0.81048,0.00113863,0.00113863,0.00113863
11,40.2318,0.47733,0.85119,0.84961,0.99664,1,0.995,0.90461,0.37992,0.39751,0.80428,0.00112625,0.00112625,0.00112625
12,43.5396,0.46265,0.81367,0.84503,0.99369,1,0.995,0.90902,0.37715,0.38387,0.80309,0.00111388,0.00111388,0.00111388
13,46.6878,0.46967,0.78401,0.85166,0.99727,1,0.995,0.89618,0.40379,0.34633,0.80976,0.0011015,0.0011015,0.0011015
14,50.3768,0.46781,0.76643,0.83486,0.99575,1,0.995,0.90691,0.39212,0.33127,0.80739,0.00108913,0.00108913,0.00108913
15,54.1244,0.41691,0.69624,0.83513,0.99748,1,0.995,0.89629,0.39532,0.32672,0.80825,0.00107675,0.00107675,0.00107675
