epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68722,1.41454,7.38668,0.7494,3.93377,1.38477,0.84115,0.92937,0.96408,0.74225,0,0,0,0,0.92051,7.69457,0.70931,1.28717,1.00359,0.000325,0.000325,0.000325
2,13.0773,0.86785,4.51016,0.77433,1.92466,1.00931,0.96377,0.97572,0.98626,0.80638,0.05422,0.05211,0.01318,0.00153,0.79612,5.84782,0.71963,1.08615,0.96834,0.000655941,0.000655941,0.000655941
3,17.0298,0.78556,3.40553,0.76676,1.58895,0.97071,0.98265,0.97013,0.995,0.83347,0.93149,0.91983,0.9408,0.34575,0.64548,3.41974,0.74428,1.01698,0.90462,0.0009802,0.0009802,0.0009802
4,20.7044,0.78251,2.68543,0.76404,1.3838,0.96665,0.99363,0.9487,0.99305,0.85757,0.98769,0.9436,0.98239,0.65177,0.57519,2.10345,0.74386,0.90162,0.91762,0.00121287,0.00121287,0.00121287
5,24.125,0.83781,2.40596,0.78608,1.29625,1.02113,0.99093,0.9949,0.99231,0.85174,0.98585,0.9898,0.98405,0.69502,0.64378,1.73185,0.77011,0.6672,0.95756,0.0012005,0.0012005,0.0012005
6,27.775,0.70194,1.93141,0.74678,1.13049,0.95788,0.9973,0.99555,0.995,0.85257,0.98766,0.98489,0.98416,0.72286,0.64615,1.43133,0.77504,0.59373,0.94863,0.00118812,0.00118812,0.00118812
7,31.9026,0.68966,1.52915,0.70731,0.99112,0.96618,0.99793,1,0.995,0.8636,0.98773,0.9898,0.98459,0.75186,0.53609,1.09828,0.69455,0.49771,0.90499,0.00117575,0.00117575,0.00117575
8,36.302,0.62408,1.39312,0.657,0.91413,0.93934,0.99737,1,0.995,0.88201,0.98719,0.9898,0.98428,0.81654,0.49112,0.948,0.63493,0.47204,0.90004,0.00116337,0.00116337,0.00116337
9,39.9185,0.55068,1.18888,0.6191,0.79259,0.91733,0.99632,1,0.995,0.88989,0.97141,0.97579,0.97415,0.81344,0.46393,0.79259,0.57699,0.46059,0.88719,0.001151,0.001151,0.001151
10,43.5182,0.56131,1.02047,0.5778,0.75937,0.9023,0.99728,1,0.995,0.87386,0.99219,0.9949,0.98827,0.9039,0.48889,0.58062,0.53796,0.41515,0.88927,0.00113863,0.00113863,0.00113863
11,47.1931,0.55235,0.86919,0.53172,0.70504,0.90315,0.99639,1,0.995,0.90111,0.98625,0.9898,0.98586,0.91296,0.45096,0.49939,0.47729,0.40687,0.88271,0.00112625,0.00112625,0.00112625
12,50.7939,0.52691,0.7228,0.48915,0.67382,0.89289,0.99603,1,0.995,0.88799,0.99095,0.9949,0.98918,0.91466,0.44504,0.3988,0.42793,0.40075,0.87822,0.00111388,0.00111388,0.00111388
13,54.2033,0.5044,0.7156,0.45878,0.64598,0.89423,0.99658,1,0.995,0.8859,0.99149,0.9949,0.98939,0.95702,0.45563,0.337,0.39698,0.38645,0.87762,0.0011015,0.0011015,0.0011015
14,58.044,0.50105,0.67146,0.42627,0.60906,0.8758,0.99495,1,0.995,0.89442,0.98988,0.9949,0.9874,0.95527,0.43149,0.30139,0.3676,0.38185,0.86885,0.00108913,0.00108913,0.00108913
15,61.5949,0.4682,0.48204,0.37991,0.55554,0.88076,0.99711,1,0.995,0.88469,0.99202,0.9949,0.98503,0.95911,0.46934,0.29269,0.32688,0.36847,0.87382,0.00107675,0.00107675,0.00107675
16,65.0085,0.50195,0.53073,0.35764,0.5582,0.88071,0.99585,1,0.995,0.88939,0.99072,0.9949,0.98515,0.96439,0.46137,0.27598,0.29622,0.37056,0.87168,0.00106437,0.00106437,0.00106437
17,68.7024,0.4878,0.52307,0.33561,0.52972,0.87706,0.99532,1,0.995,0.88705,0.9902,0.9949,0.98577,0.96668,0.42041,0.25099,0.25989,0.36059,0.86244,0.001052,0.001052,0.001052
18,72.25,0.45283,0.47282,0.29099,0.50216,0.86437,0.99401,1,0.995,0.89925,0.98892,0.9949,0.98607,0.97223,0.4146,0.24222,0.24237,0.33364,0.85698,0.00103962,0.00103962,0.00103962
19,75.8308,0.45103,0.48355,0.29808,0.49274,0.87015,0.99584,1,0.995,0.89129,0.99076,0.9949,0.98607,0.97397,0.42716,0.21418,0.22472,0.34473,0.86498,0.00102725,0.00102725,0.00102725
20,79.3983,0.44587,0.46323,0.29472,0.47065,0.85268,0.99724,1,0.995,0.90287,0.99215,0.9949,0.98503,0.97126,0.39585,0.20178,0.20726,0.31156,0.85228,0.00101488,0.00101488,0.00101488
21,82.9603,0.45409,0.3798,0.26804,0.44502,0.8556,0.99626,1,0.995,0.88402,0.99116,0.9949,0.98503,0.97065,0.45299,0.18528,0.19382,0.31131,0.86755,0.0010025,0.0010025,0.0010025
22,86.3896,0.47937,0.35228,0.26016,0.45374,0.87201,0.99477,1,0.995,0.8901,0.9897,0.9949,0.98503,0.9702,0.41043,0.19809,0.17819,0.33203,0.86116,0.000990125,0.000990125,0.000990125
23,89.7442,0.44471,0.36374,0.24434,0.43484,0.85153,0.99505,1,0.995,0.90241,0.98997,0.9949,0.98515,0.978,0.39892,0.15992,0.17075,0.33549,0.85629,0.00097775,0.00097775,0.00097775
24,93.0764,0.41525,0.37265,0.24303,0.42542,0.85348,0.99511,1,0.995,0.90683,0.99001,0.9949,0.98515,0.97441,0.38668,0.1793,0.16216,0.3008,0.85423,0.000965375,0.000965375,0.000965375
25,96.5428,0.41437,0.3418,0.24883,0.41355,0.85633,0.99609,1,0.995,0.91637,0.99101,0.9949,0.98526,0.97586,0.36189,0.17485,0.14704,0.28995,0.85036,0.000953,0.000953,0.000953
26,99.8388,0.39496,0.40153,0.24175,0.39595,0.85002,0.99653,1,0.995,0.91854,0.99144,0.9949,0.98515,0.97823,0.3839,0.15633,0.14234,0.28966,0.84939,0.000940625,0.000940625,0.000940625
27,103.12,0.3843,0.34396,0.23553,0.38069,0.83995,0.99584,1,0.995,0.91308,0.99076,0.9949,0.98796,0.97915,0.34914,0.1608,0.13137,0.28087,0.84502,0.00092825,0.00092825,0.00092825
28,106.779,0.38514,0.34083,0.21128,0.36928,0.84372,0.99599,1,0.995,0.91717,0.99091,0.9949,0.98908,0.98155,0.37099,0.15309,0.12611,0.27,0.8502,0.000915875,0.000915875,0.000915875
